player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
HH,3,수베로,우투양타,1972-06-15,"185cm, 84kg"
HH,70,로사도,좌투좌타,1974-11-09,"183cm, 88kg"
HH,71,이동걸,우투우타,1983-08-12,"185cm, 95kg"
HH,72,조성환,우투우타,1976-12-23,"181cm, 81kg"
HH,78,전상렬,좌투좌타,1972-06-12,"174cm, 77kg"
HH,81,이상훈,우투우타,1987-05-04,"171cm, 75kg"
HH,82,워싱턴,우투우타,1984-05-06,"178cm, 91kg"
HH,85,김기남,우투우타,1982-07-15,"185cm, 86kg"
HH,86,김남형,우투우타,1988-05-08,"177cm, 75kg"
HH,88,케네디,우투우타,1969-01-23,"178cm, 79kg"
HH,,박주홍,좌투좌타,1999-08-20,"178cm, 109kg"
HH,1,김종수,우투우타,1994-06-03,"180cm, 80kg"
HH,5,윤대경,우투우타,1994-04-09,"179cm, 75kg"
HH,18,윤호솔,우투우타,1994-07-15,"183cm, 99kg"
HH,20,킹험,우투우타,1991-11-08,"196cm, 106kg"
HH,22,카펜터,좌투좌타,1990-08-22,"196cm, 104kg"
HH,37,김진영,우투우타,1992-04-16,"180cm, 89kg"
HH,38,문동욱,우투좌타,1992-01-07,"187cm, 90kg"
HH,45,김도현,우투우타,2000-09-15,"183cm, 87kg"
HH,47,김범수,좌투좌타,1995-10-03,"182cm, 81kg"
HH,53,김민우,우투우타,1995-07-25,"189cm, 105kg"
HH,55,강재민,우투우타,1997-04-03,"180cm, 86kg"
HH,57,정우람,좌투좌타,1985-06-01,"181cm, 82kg"
HH,66,주현상,우투우타,1992-08-10,"177cm, 82kg"
HH,13,최재훈,우투우타,1989-08-27,"178cm, 76kg"
HH,27,이해창,우투우타,1987-05-11,"184cm, 85kg"
HH,,이성열,우투좌타,1984-07-13,"185cm, 102kg"
HH,,힐리,우투우타,1992-01-10,"195cm, 104kg"
HH,4,강경학,우투좌타,1992-08-11,"180cm, 72kg"
HH,8,노시환,우투우타,2000-12-03,"185cm, 96kg"
HH,9,박정현,우투우타,2001-07-27,"183cm, 85kg"
HH,16,하주석,우투좌타,1994-02-25,"184cm, 84kg"
HH,43,정은원,우투좌타,2000-01-17,"177cm, 78kg"
HH,24,임종찬,우투좌타,2001-09-28,"184cm, 85kg"
HH,30,장운호,우투우타,1994-02-20,"183cm, 85kg"
HH,33,정진호,우투좌타,1988-10-02,"185cm, 78kg"
HH,39,김민하,우투우타,1989-02-25,"181cm, 88kg"
HH,68,유로결,우투우타,2000-05-30,"186cm, 86kg"
