player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
HT,77,김기태,좌투좌타,1969-05-23,"180cm, 85kg"
HT,70,홍세완,우투우타,1978-01-16,"183cm, 85kg"
HT,72,김민호,우투우타,1969-03-19,"181cm, 81kg"
HT,74,김종국,우투우타,1973-09-14,"180cm, 80kg"
HT,75,김민우,우투우타,1979-03-21,"184cm, 92kg"
HT,78,이대진,우투우타,1974-06-09,"180cm, 83kg"
HT,81,정회열,우투우타,1968-10-09,"178cm, 88kg"
HT,87,코우조,우투양타,1962-01-02,"170cm, 75kg"
HT,92,김상훈,우투우타,1977-10-27,"180cm, 92kg"
HT,12,임창용,우언우타,1976-06-04,"182cm, 82kg"
HT,26,임기준,좌투좌타,1991-10-08,"182cm, 83kg"
HT,28,김윤동,우투우타,1993-04-01,"186cm, 97kg"
HT,35,문경찬,우투우타,1992-07-08,"186cm, 85kg"
HT,36,박정수,우언좌타,1996-01-29,"178cm, 69kg"
HT,40,유승철,우투양타,1998-03-02,"184cm, 87kg"
HT,43,헥터,우투우타,1987-01-26,"191cm, 93kg"
HT,47,정용운,좌투좌타,1990-07-06,"186cm, 88kg"
HT,49,김세현,우투우타,1987-08-07,"188cm, 104kg"
HT,22,백용환,우투우타,1989-03-20,"180cm, 95kg"
HT,32,김민식,우투좌타,1989-06-28,"180cm, 80kg"
HT,42,한승택,우투우타,1994-06-21,"174cm, 83kg"
HT,3,김선빈,우투우타,1989-12-18,"165cm, 77kg"
HT,6,최원준,우투좌타,1997-03-23,"178cm, 85kg"
HT,8,안치홍,우투우타,1990-07-02,"178cm, 90kg"
HT,15,황윤호,우투우타,1993-09-22,"177cm, 78kg"
HT,16,김주찬,우투우타,1981-03-25,"183cm, 94kg"
HT,17,서동욱,우투좌타,1984-03-21,"188cm, 99kg"
HT,25,이범호,우투우타,1981-11-25,"183cm, 96kg"
HT,56,정성훈,우투우타,1980-06-27,"182cm, 83kg"
HT,14,유재신,우투우타,1987-11-21,"179cm, 70kg"
HT,27,이명기,좌투좌타,1987-12-26,"183cm, 80kg"
HT,29,나지완,우투우타,1985-05-19,"182cm, 105kg"
HT,34,최형우,우투좌타,1983-12-16,"180cm, 106kg"
HT,50,버나디나,좌투좌타,1984-06-12,"188cm, 95kg"
