player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
KT,71,이강철,우언우타,1966-05-24,"180cm, 78kg"
KT,70,김태균,우투우타,1971-08-19,"176cm, 82kg"
KT,72,김강,좌투좌타,1988-10-16,"188cm, 92kg"
KT,76,박기혁,우투우타,1981-06-04,"179cm, 77kg"
KT,78,박철영,우투우타,1960-05-22,"178cm, 84kg"
KT,80,박정환,우투우타,1977-10-23,"180cm, 88kg"
KT,84,최만호,우투우타,1974-03-04,"170cm, 73kg"
KT,87,박승민,우언우타,1977-03-18,"186cm, 90kg"
KT,90,조중근,좌투좌타,1982-12-20,"183cm, 98kg"
KT,11,이대은,우투좌타,1989-03-23,"189cm, 90kg"
KT,19,배제성,우투좌타,1996-09-29,"189cm, 85kg"
KT,21,이상화,우투우타,1988-03-01,"188cm, 95kg"
KT,26,김민수,우투우타,1992-07-24,"188cm, 80kg"
KT,28,하준호,좌투좌타,1989-04-29,"174cm, 78kg"
KT,31,전유수,우투좌타,1986-11-29,"185cm, 95kg"
KT,32,쿠에바스,우투양타,1990-10-14,"188cm, 98kg"
KT,38,주권,우투우타,1995-05-31,"181cm, 82kg"
KT,40,데스파이네,우투우타,1987-04-04,"182cm, 92kg"
KT,41,손동현,우투좌타,2001-01-23,"183cm, 88kg"
KT,62,김재윤,우투우타,1990-09-16,"185cm, 91kg"
KT,17,허도환,우투우타,1984-07-31,"176cm, 87kg"
KT,22,장성우,우투우타,1990-01-17,"187cm, 100kg"
KT,66,강현우,우투우타,2001-04-13,"180cm, 90kg"
KT,2,심우준,우투우타,1995-04-28,"183cm, 75kg"
KT,6,박경수,우투우타,1984-03-31,"178cm, 80kg"
KT,7,강민국,우투우타,1992-01-10,"176cm, 80kg"
KT,10,황재균,우투우타,1987-07-28,"183cm, 96kg"
KT,14,김병희,우투우타,1990-12-06,"180cm, 82kg"
KT,16,박승욱,우투좌타,1992-12-04,"184cm, 85kg"
KT,24,오태곤,우투우타,1991-11-18,"186cm, 88kg"
KT,12,송민섭,우투우타,1991-08-02,"177cm, 80kg"
KT,23,조용호,우투좌타,1989-09-09,"170cm, 75kg"
KT,24,로하스,우투양타,1990-05-24,"189cm, 102kg"
KT,27,배정대,우투우타,1995-06-12,"185cm, 80kg"
KT,50,강백호,우투좌타,1999-07-29,"184cm, 98kg"
KT,53,김민혁,우투좌타,1995-11-21,"181cm, 71kg"
KT,61,유한준,우투우타,1981-07-01,"186cm, 97kg"
