player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
LG,75,류중일,우투우타,1963-04-28,"176cm, 74kg"
LG,73,김정민,우투우타,1970-03-15,"184cm, 83kg"
LG,74,경헌호,우투우타,1977-07-25,"181cm, 98kg"
LG,76,류지현,우투우타,1971-05-25,"176cm, 70kg"
LG,77,강상수,우투우타,1971-06-22,"184cm, 88kg"
LG,81,박종호,우투양타,1973-07-27,"176cm, 83kg"
LG,85,한혁수,우투우타,1970-10-11,"179cm, 85kg"
LG,86,신경식,좌투좌타,1961-08-19,"190cm, 95kg"
LG,91,이병규,좌투좌타,1974-10-25,"185cm, 85kg"
LG,12,최동환,우투우타,1989-09-19,"184cm, 83kg"
LG,18,이동현,우투우타,1983-01-12,"192cm, 98kg"
LG,20,임정우,우투우타,1991-04-02,"183cm, 77kg"
LG,21,진해수,좌투좌타,1986-06-26,"187cm, 85kg"
LG,26,정찬헌,우투우타,1990-01-26,"187cm, 94kg"
LG,31,신정락,우언우타,1987-05-13,"177cm, 78kg"
LG,35,윌슨,우투우타,1989-09-25,"188cm, 84kg"
LG,48,김지용,우투우타,1988-02-20,"177cm, 81kg"
LG,56,최성훈,좌투좌타,1989-10-11,"178cm, 75kg"
LG,27,유강남,우투우타,1992-07-15,"182cm, 88kg"
LG,42,정상호,우투우타,1982-12-24,"187cm, 100kg"
LG,2,오지환,우투좌타,1990-03-12,"186cm, 80kg"
LG,3,가르시아,우투우타,1985-04-12,"177cm, 93kg"
LG,8,백승현,우투우타,1995-05-26,"183cm, 78kg"
LG,13,윤진호,우투우타,1986-06-23,"178cm, 78kg"
LG,28,강승호,우투우타,1994-02-09,"179cm, 77kg"
LG,53,양석환,우투우타,1991-07-15,"185cm, 90kg"
LG,7,정주현,우투우타,1990-10-13,"176cm, 76kg"
LG,10,김용의,우투좌타,1985-08-20,"187cm, 74kg"
LG,15,안익훈,좌투좌타,1996-02-12,"176cm, 70kg"
LG,22,김현수,우투좌타,1988-01-12,"188cm, 100kg"
LG,24,임훈,좌투좌타,1985-07-17,"186cm, 86kg"
LG,32,이천웅,좌투좌타,1988-10-20,"182cm, 85kg"
LG,33,박용택,우투좌타,1979-04-21,"185cm, 90kg"
LG,55,채은성,우투우타,1990-02-06,"186cm, 92kg"
