player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
LT,,,,,"cm, kg"
LT,71,박종호,우투양타,1973-07-27,"176cm, 83kg"
LT,82,나경민,좌투좌타,1991-12-12,"177cm, 80kg"
LT,83,윤재국,좌투좌타,1975-05-05,"176cm, 78kg"
LT,85,최현,우투양타,1988-01-29,"188cm, 102kg"
LT,87,윤윤덕,,1990-02-20,"178cm, 78kg"
LT,89,롱,우투우타,1973-02-03,"188cm, 97kg"
LT,91,임경완,우언우타,1975-12-28,"186cm, 95kg"
LT,93,백어진,우투우타,1990-11-26,"181cm, 83kg"
LT,99,이용훈,우투우타,1977-07-14,"183cm, 83kg"
LT,22,구승민,우투우타,1990-06-12,"181cm, 80kg"
LT,32,박세웅,우투우타,1995-11-30,"181cm, 78kg"
LT,34,김원중,우투좌타,1993-06-14,"192cm, 91kg"
LT,35,이인복,우투우타,1991-06-18,"187cm, 94kg"
LT,39,서준원,우언우타,2000-11-05,"187cm, 95kg"
LT,40,박진형,우투우타,1994-06-10,"181cm, 77kg"
LT,41,김대우,우투좌타,1984-07-26,"189cm, 95kg"
LT,42,김건국,우투우타,1988-02-02,"179cm, 85kg"
LT,55,김유영,좌투좌타,1994-05-02,"180cm, 80kg"
LT,56,최준용,우투우타,2001-10-10,"185cm, 85kg"
LT,58,스트레일리,우투우타,1988-12-01,"189cm, 100kg"
LT,67,프랑코,우투우타,1992-12-29,"189cm, 108kg"
LT,27,강태율,우투우타,1996-11-01,"180cm, 88kg"
LT,33,지시완,우투우타,1994-04-10,"180cm, 92kg"
LT,43,김준태,우투좌타,1994-07-31,"175cm, 91kg"
LT,4,오윤석,우투우타,1992-02-24,"180cm, 87kg"
LT,5,김민수,우투우타,1998-03-18,"182cm, 96kg"
LT,6,마차도,우투우타,1992-02-22,"185cm, 91kg"
LT,7,이병규,좌투좌타,1983-10-09,"178cm, 90kg"
LT,8,전준우,우투우타,1986-02-25,"184cm, 97kg"
LT,9,정훈,우투우타,1987-07-18,"180cm, 85kg"
LT,10,이대호,우투우타,1982-06-21,"194cm, 130kg"
LT,13,안치홍,우투우타,1990-07-02,"178cm, 88kg"
LT,25,한동희,우투우타,1999-06-01,"181cm, 99kg"
LT,12,김재유,우투좌타,1992-08-07,"181cm, 85kg"
LT,17,강로한,우투좌타,1992-05-13,"181cm, 78kg"
LT,31,손아섭,우투좌타,1988-03-18,"174cm, 84kg"
LT,36,추재현,좌투좌타,1999-02-22,"179cm, 89kg"
