player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
NC,82,강인권,우투우타,1972-06-26,"182cm, 87kg"
NC,74,전형도,우투우타,1971-10-30,"177cm, 83kg"
NC,75,진종길,우투좌타,1981-09-23,"178cm, 80kg"
NC,76,전민수,우투좌타,1989-03-18,"177cm, 76kg"
NC,77,송지만,우투우타,1973-03-02,"178cm, 85kg"
NC,83,윤병호,우투우타,1989-07-05,"181cm, 85kg"
NC,86,김종민,우투우타,1986-03-30,"176cm, 85kg"
NC,89,박석진,우언우타,1972-07-19,"179cm, 80kg"
NC,93,이종욱,좌투좌타,1980-06-18,"176cm, 78kg"
NC,98,김수경,우투우타,1979-08-20,"183cm, 90kg"
NC,1,심창민,우언우타,1993-02-01,"185cm, 86kg"
NC,11,송명기,우투우타,2000-08-09,"191cm, 93kg"
NC,13,페디,우투우타,1993-02-25,"193cm, 92kg"
NC,17,김영규,좌투좌타,2000-02-10,"188cm, 86kg"
NC,21,김시훈,우투우타,1999-02-24,"188cm, 95kg"
NC,22,이용찬,우투우타,1989-01-02,"185cm, 85kg"
NC,30,임정호,좌투좌타,1990-04-16,"188cm, 90kg"
NC,39,하준영,좌투좌타,1999-09-06,"182cm, 79kg"
NC,41,류진욱,우투우타,1996-10-10,"189cm, 88kg"
NC,48,이용준,우투우타,2002-05-08,"180cm, 95kg"
NC,54,김진호,우투우타,1998-06-07,"183cm, 90kg"
NC,59,구창모,좌투좌타,1997-02-17,"183cm, 85kg"
NC,10,박세혁,우투좌타,1990-01-09,"181cm, 86kg"
NC,26,박대온,우투우타,1995-08-28,"182cm, 85kg"
NC,32,안중열,우투우타,1995-09-01,"176cm, 87kg"
NC,2,박민우,우투좌타,1993-02-06,"185cm, 80kg"
NC,5,서호철,우투우타,1996-10-16,"179cm, 85kg"
NC,7,김주원,우투양타,2002-07-30,"185cm, 83kg"
NC,16,도태훈,우투좌타,1993-03-18,"184cm, 85kg"
NC,18,박석민,우투우타,1985-06-22,"178cm, 88kg"
NC,34,오영수,우투좌타,2000-01-30,"178cm, 93kg"
NC,50,오태양,우투우타,2002-04-25,"178cm, 67kg"
NC,52,윤형준,우투우타,1994-01-31,"186cm, 97kg"
NC,25,김성욱,우투우타,1993-05-01,"181cm, 83kg"
NC,31,손아섭,우투좌타,1988-03-18,"174cm, 84kg"
NC,37,박건우,우투우타,1990-09-08,"184cm, 80kg"
NC,46,한석현,좌투좌타,1994-05-17,"181cm, 73kg"
NC,55,마틴,우투좌타,1995-09-05,"175cm, 83kg"
