player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
OB,88,김태형,우투우타,1967-09-12,"175cm, 82kg"
OB,70,김원형,우투우타,1972-07-05,"177cm, 75kg"
OB,75,조인성,우투우타,1975-05-25,"182cm, 107kg"
OB,77,조성환,우투우타,1976-12-23,"181cm, 81kg"
OB,79,김민재,우투우타,1973-01-03,"181cm, 84kg"
OB,82,권명철,우투우타,1969-10-28,"183cm, 90kg"
OB,87,박철우,좌투좌타,1964-04-12,"181cm, 91kg"
OB,89,정경배,우투우타,1974-02-20,"176cm, 84kg"
OB,90,고영민,우투우타,1984-02-08,"182cm, 73kg"
OB,1,함덕주,좌투좌타,1995-01-13,"181cm, 78kg"
OB,11,이현호,좌투좌타,1992-07-14,"185cm, 80kg"
OB,16,김승회,우투우타,1981-02-11,"177cm, 85kg"
OB,29,유희관,좌투좌타,1986-06-01,"180cm, 88kg"
OB,30,최대성,우투우타,1985-05-17,"183cm, 106kg"
OB,34,린드블럼,우투우타,1987-06-15,"195cm, 105kg"
OB,42,윤명준,우투우타,1989-06-18,"178cm, 78kg"
OB,43,후랭코프,우투우타,1988-08-27,"195cm, 95kg"
OB,45,이용찬,우투우타,1989-01-02,"185cm, 85kg"
OB,48,이현승,좌투좌타,1983-10-11,"179cm, 87kg"
OB,66,박치국,우언우타,1998-03-10,"177cm, 78kg"
OB,68,이형범,우투우타,1994-02-27,"181cm, 80kg"
OB,2,장승현,우투우타,1994-03-07,"184cm, 86kg"
OB,10,박세혁,우투좌타,1990-01-09,"181cm, 86kg"
OB,9,페르난데스,우투좌타,1988-04-27,"178cm, 83kg"
OB,13,허경민,우투우타,1990-08-26,"176cm, 69kg"
OB,17,류지혁,우투좌타,1994-01-13,"181cm, 75kg"
OB,24,오재원,우투좌타,1985-02-09,"185cm, 75kg"
OB,35,정병곤,우투우타,1988-03-23,"172cm, 74kg"
OB,36,오재일,좌투좌타,1986-10-29,"187cm, 95kg"
OB,52,김재호,우투우타,1985-03-21,"181cm, 75kg"
OB,15,국해성,우투양타,1989-10-08,"180cm, 94kg"
OB,23,정진호,우투좌타,1988-10-02,"185cm, 78kg"
OB,31,정수빈,좌투좌타,1990-10-07,"175cm, 70kg"
OB,32,김재환,우투좌타,1988-09-22,"183cm, 90kg"
OB,37,박건우,우투우타,1990-09-08,"184cm, 80kg"
OB,38,김대한,우투우타,2000-12-06,"185cm, 83kg"
