player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
SK,88,힐만,우투우타,1963-01-04,"178cm, 81kg"
SK,76,김인호,우투우타,1967-01-26,"180cm, 84kg"
SK,80,박경완,우투우타,1972-07-11,"178cm, 76kg"
SK,81,김성갑,우투우타,1962-05-03,"168cm, 68kg"
SK,84,예이츠,우투우타,1953-06-20,"170cm, 70kg"
SK,85,박계원,우투우타,1970-02-04,"186cm, 85kg"
SK,86,정수성,우투좌타,1978-03-04,"173cm, 72kg"
SK,87,데이브존,우투우타,1954-10-02,"185cm, 85kg"
SK,99,정경배,우투우타,1974-02-20,"176cm, 84kg"
SK,21,임준혁,우투우타,1984-10-09,"182cm, 100kg"
SK,22,서진용,우투우타,1992-10-02,"184cm, 88kg"
SK,23,켈리,우투우타,1988-10-14,"188cm, 86kg"
SK,31,전유수,우투좌타,1986-11-29,"185cm, 95kg"
SK,32,박정배,우투우타,1982-04-01,"180cm, 85kg"
SK,41,문광은,우투우타,1987-11-09,"180cm, 85kg"
SK,43,김성민,좌투좌타,1994-04-26,"181cm, 90kg"
SK,45,채병용,우투우타,1982-04-25,"185cm, 100kg"
SK,47,박희수,좌투좌타,1983-07-13,"184cm, 88kg"
SK,59,김주한,우언우타,1993-02-03,"184cm, 93kg"
SK,20,이재원,우투우타,1988-02-24,"185cm, 98kg"
SK,32,김민식,우투좌타,1989-06-28,"180cm, 80kg"
SK,2,박승욱,우투좌타,1992-12-04,"184cm, 78kg"
SK,3,나주환,우투우타,1984-06-14,"180cm, 84kg"
SK,6,김성현,우투우타,1987-03-09,"172cm, 72kg"
SK,9,이대수,우투우타,1981-08-21,"175cm, 75kg"
SK,14,최정,우투우타,1987-02-28,"180cm, 90kg"
SK,27,워스,우투우타,1985-09-30,"185cm, 88kg"
SK,36,박정권,좌투좌타,1981-07-21,"187cm, 96kg"
SK,0,김강민,우투우타,1982-09-13,"182cm, 85kg"
SK,13,조용호,우투좌타,1989-09-09,"170cm, 75kg"
SK,19,정진기,우투좌타,1992-10-10,"185cm, 92kg"
SK,27,이명기,좌투좌타,1987-12-26,"183cm, 80kg"
SK,37,정의윤,우투우타,1986-07-25,"185cm, 90kg"
SK,38,김동엽,우투우타,1990-07-24,"186cm, 101kg"
SK,62,한유섬,우투좌타,1989-08-09,"190cm, 95kg"
