player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
SS,70,허삼영,우투우타,1972-06-08,"183cm, 79kg"
SS,71,조동찬,우투우타,1983-07-27,"180cm, 80kg"
SS,76,이영수,우투우타,1981-05-09,"184cm, 90kg"
SS,79,박진만,우투우타,1976-11-30,"178cm, 82kg"
SS,85,최태원,우투우타,1970-08-19,"179cm, 83kg"
SS,87,김용달,우투우타,1956-05-10,"180cm, 78kg"
SS,89,이정식,우투우타,1981-11-02,"183cm, 93kg"
SS,91,정현욱,우투우타,1978-12-02,"187cm, 102kg"
SS,97,강명구,우투좌타,1980-10-25,"181cm, 70kg"
SS,2,우규민,우언우타,1985-01-21,"184cm, 75kg"
SS,4,뷰캐넌,우투우타,1989-05-11,"190cm, 90kg"
SS,17,김대우,우언우타,1988-11-21,"183cm, 85kg"
SS,20,이승현,우투우타,1991-11-20,"181cm, 92kg"
SS,26,장필준,우투우타,1988-04-08,"190cm, 90kg"
SS,29,백정현,좌투좌타,1987-07-13,"184cm, 80kg"
SS,37,노건우,좌투좌타,1989-10-22,"182cm, 100kg"
SS,39,라이블리,우투우타,1992-03-05,"193cm, 86kg"
SS,40,최지광,우투우타,1998-03-13,"173cm, 85kg"
SS,46,원태인,우투우타,2000-04-06,"183cm, 92kg"
SS,56,최채흥,좌투좌타,1995-01-22,"186cm, 97kg"
SS,57,임현준,좌언좌타,1988-12-21,"185cm, 88kg"
SS,61,홍정우,우투우타,1996-03-16,"182cm, 85kg"
SS,27,김응민,우투우타,1991-10-22,"178cm, 90kg"
SS,47,강민호,우투우타,1985-08-18,"185cm, 100kg"
SS,,살라디노,우투우타,1989-07-20,"183cm, 90kg"
SS,0,김재현,우투우타,1991-08-30,"176cm, 73kg"
SS,6,이성규,우투우타,1993-08-03,"178cm, 82kg"
SS,7,김상수,우투우타,1990-03-23,"175cm, 68kg"
SS,16,이원석,우투우타,1986-10-21,"182cm, 82kg"
SS,32,최영진,우투우타,1988-05-10,"185cm, 87kg"
SS,58,김지찬,우투좌타,2001-03-08,"163cm, 64kg"
SS,5,구자욱,우투좌타,1993-02-12,"189cm, 75kg"
SS,9,박찬도,우투좌타,1989-02-22,"185cm, 75kg"
SS,13,박해민,우투좌타,1990-02-24,"180cm, 75kg"
SS,34,김헌곤,우투우타,1988-11-09,"174cm, 81kg"
SS,38,김동엽,우투우타,1990-07-24,"186cm, 101kg"
