player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
WO,,,,,"cm, kg"
WO,71,나이트,우투좌타,1975-10-01,"182cm, 79kg"
WO,73,오윤,우투우타,1981-09-08,"186cm, 98kg"
WO,74,조재영,우투우타,1980-03-15,"182cm, 87kg"
WO,77,강병식,우투좌타,1977-04-23,"182cm, 85kg"
WO,78,홍원기,우투우타,1973-06-05,"187cm, 92kg"
WO,80,마정길,우언우타,1979-03-13,"177cm, 95kg"
WO,86,김지수,우투우타,1986-08-23,"180cm, 81kg"
WO,89,박도현,우투우타,1983-04-12,"183cm, 105kg"
WO,8,브리검,우투우타,1988-02-10,"190cm, 90kg"
WO,11,조상우,우투우타,1994-09-04,"186cm, 97kg"
WO,15,오주원,좌투좌타,1985-03-31,"184cm, 95kg"
WO,20,최원태,우투우타,1997-01-07,"184cm, 93kg"
WO,21,김성민,좌투좌타,1994-04-26,"181cm, 90kg"
WO,24,김상수,우투우타,1988-01-02,"180cm, 88kg"
WO,28,김재웅,좌투좌타,1998-10-22,"173cm, 88kg"
WO,37,신재영,우언우타,1989-11-18,"185cm, 91kg"
WO,39,양현,우언우타,1992-08-23,"188cm, 70kg"
WO,43,요키시,좌투우타,1989-07-29,"188cm, 93kg"
WO,47,임규빈,우투우타,1991-09-12,"184cm, 101kg"
WO,64,이영준,좌투좌타,1991-10-10,"184cm, 100kg"
WO,99,윤정현,좌투좌타,1993-05-17,"187cm, 110kg"
WO,27,박동원,우투우타,1990-04-07,"179cm, 92kg"
WO,56,이지영,우투우타,1986-02-27,"178cm, 85kg"
WO,,모터,우투우타,1989-09-18,"185cm, 88kg"
WO,3,김혜성,우투좌타,1999-01-27,"179cm, 78kg"
WO,6,김주형,우투우타,1996-03-05,"176cm, 80kg"
WO,7,김하성,우투우타,1995-10-17,"179cm, 78kg"
WO,14,서건창,우투좌타,1989-08-22,"176cm, 84kg"
WO,52,박병호,우투우타,1986-07-10,"185cm, 107kg"
WO,62,전병우,우투우타,1992-10-24,"182cm, 90kg"
WO,0,임병욱,우투좌타,1995-09-30,"185cm, 84kg"
WO,9,박정음,좌투좌타,1989-04-15,"175cm, 77kg"
WO,23,박준태,우투좌타,1991-07-26,"181cm, 75kg"
WO,29,이택근,우투우타,1980-07-10,"183cm, 89kg"
WO,36,김규민,좌투좌타,1993-01-26,"188cm, 85kg"
WO,51,이정후,우투좌타,1998-08-20,"185cm, 78kg"
