,player_id,retro_id
0,61240,61240abc
1,67742,67742abc
2,74731,74731abc
3,99737,99737abc
4,79764,79764abc
5,74167,74167abc
6,73226,73226abc
7,67435,67435abc
8,66643,66643abc
9,61365,61365abc
10,77446,77446abc
11,66492,66492abc
12,67443,67443abc
13,60636,60636abc
14,74630,74630abc
15,62754,62754abc
16,65856,65856abc
17,67033,67033abc
18,76858,76858abc
19,66859,66859abc
20,64001,64001abc
21,75250,75250abc
22,65067,65067abc
23,71845,71845abc
24,65062,65062abc
25,62322,62322abc
26,62698,62698abc
27,72749,72749abc
28,71118,71118abc
29,75258,75258abc
30,76650,76650abc
31,76430,76430abc
32,60140,60140abc
33,78148,78148abc
34,67948,67948abc
35,65546,65546abc
36,60559,60559abc
37,72551,72551abc
38,76540,76540abc
39,76118,76118abc
40,75867,75867abc
41,72862,72862abc
42,78352,78352abc
43,79229,79229abc
44,73248,73248abc
45,67246,67246abc
46,77211,77211abc
47,74857,74857abc
48,76329,76329abc
49,73750,73750abc
50,78247,78247abc
51,73117,73117abc
52,67645,67645abc
53,60146,60146abc
54,62637,62637abc
55,99445,99445abc
56,70142,70142abc
57,72523,72523abc
58,61666,61666abc
59,95657,95657abc
60,61411,61411abc
61,74838,74838abc
62,60264,60264abc
63,77318,77318abc
64,61895,61895abc
65,63111,63111abc
66,60339,60339abc
67,60181,60181abc
68,62363,62363abc
69,79140,79140abc
70,61396,61396abc
71,62146,62146abc
72,60263,60263abc
73,62528,62528abc
74,63950,63950abc
75,75321,75321abc
76,62951,62951abc
77,65064,65064abc
78,79349,79349abc
79,73801,73801abc
80,73738,73738abc
81,99314,99314abc
82,74454,74454abc
83,62648,62648abc
84,61643,61643abc
85,62869,62869abc
86,65331,65331abc
87,75340,75340abc
88,73632,73632abc
89,64017,64017abc
90,67828,67828abc
91,77563,77563abc
92,62937,62937abc
93,61329,61329abc
94,65348,65348abc
95,75342,75342abc
96,65933,65933abc
97,63512,63512abc
98,77591,77591abc
99,63959,63959abc
100,66920,66920abc
101,70425,70425abc
102,62966,62966abc
103,64995,64995abc
104,65060,65060abc
105,74513,74513abc
106,65056,65056abc
107,65058,65058abc
108,77637,77637abc
109,60841,60841abc
110,60845,60845abc
111,76455,76455abc
112,76355,76355abc
113,66145,66145abc
114,64021,64021abc
115,65320,65320abc
116,63938,63938abc
117,60768,60768abc
118,63248,63248abc
119,61214,61214abc
120,74359,74359abc
121,72535,72535abc
122,73211,73211abc
123,61101,61101abc
124,66451,66451abc
125,75750,75750abc
126,67646,67646abc
127,61215,61215abc
128,60255,60255abc
129,70615,70615abc
130,77263,77263abc
131,79358,79358abc
132,64907,64907abc
133,62929,62929abc
134,79791,79791abc
135,76639,76639abc
136,67119,67119abc
137,77927,77927abc
138,64596,64596abc
139,63342,63342abc
140,67815,67815abc
141,65516,65516abc
142,67467,67467abc
143,66226,66226abc
144,70839,70839abc
145,64464,64464abc
146,66659,66659abc
147,67591,67591abc
148,72261,72261abc
149,67421,67421abc
150,72447,72447abc
151,79191,79191abc
152,67266,67266abc
153,72641,72641abc
154,77452,77452abc
155,66309,66309abc
156,75149,75149abc
157,75138,75138abc
158,64029,64029abc
159,79847,79847abc
160,66741,66741abc
161,62892,62892abc
162,62868,62868abc
163,64350,64350abc
164,65769,65769abc
165,66160,66160abc
166,67313,67313abc
167,79617,79617abc
168,61496,61496abc
169,79222,79222abc
170,66291,66291abc
171,63104,63104abc
172,78366,78366abc
173,99563,99563abc
174,67360,67360abc
175,74748,74748abc
176,67423,67423abc
177,66960,66960abc
178,66801,66801abc
179,64462,64462abc
180,79440,79440abc
181,66047,66047abc
182,97336,97336abc
183,65042,65042abc
184,66660,66660abc
185,62338,62338abc
186,66201,66201abc
187,61457,61457abc
188,78552,78552abc
189,63027,63027abc
190,60337,60337abc
191,77253,77253abc
192,61456,61456abc
193,60441,60441abc
194,66305,66305abc
195,64267,64267abc
196,76653,76653abc
197,65509,65509abc
198,60634,60634abc
199,63749,63749abc
200,79235,79235abc
201,65345,65345abc
202,64759,64759abc
203,62696,62696abc
204,67737,67737abc
205,75537,75537abc
206,67143,67143abc
207,63894,63894abc
208,64861,64861abc
209,67703,67703abc
210,65696,65696abc
211,65543,65543abc
212,66858,66858abc
213,66493,66493abc
214,64051,64051abc
215,60757,60757abc
216,62056,62056abc
217,65392,65392abc
218,60848,60848abc
219,79825,79825abc
220,78819,78819abc
221,65908,65908abc
222,61891,61891abc
223,67066,67066abc
224,72321,72321abc
225,76757,76757abc
226,75730,75730abc
227,79545,79545abc
228,63619,63619abc
229,65616,65616abc
230,65764,65764abc
231,60105,60105abc
232,66098,66098abc
233,65742,65742abc
234,68748,68748abc
235,68703,68703abc
236,78248,78248abc
237,68948,68948abc
238,68135,68135abc
239,68526,68526abc
240,76610,76610abc
241,68220,68220abc
242,68742,68742abc
243,66018,66018abc
244,65643,65643abc
245,67640,67640abc
246,68953,68953abc
247,77829,77829abc
248,67588,67588abc
249,78536,78536abc
250,63543,63543abc
251,68435,68435abc
252,68815,68815abc
253,68240,68240abc
254,62263,62263abc
255,68400,68400abc
256,76461,76461abc
257,65639,65639abc
258,62920,62920abc
259,68415,68415abc
260,64155,64155abc
261,61145,61145abc
262,74543,74543abc
263,63348,63348abc
264,68067,68067abc
265,79293,79293abc
266,61962,61962abc
267,63936,63936abc
268,62360,62360abc
269,68701,68701abc
270,68249,68249abc
271,63145,63145abc
272,68659,68659abc
273,64805,64805abc
274,62595,62595abc
275,67863,67863abc
276,65618,65618abc
277,68260,68260abc
278,68200,68200abc
279,65802,65802abc
280,68556,68556abc
281,68419,68419abc
282,61268,61268abc
283,60764,60764abc
284,68341,68341abc
285,68036,68036abc
286,68130,68130abc
287,67840,67840abc
288,75620,75620abc
289,67603,67603abc
290,65964,65964abc
291,68639,68639abc
292,67122,67122abc
293,68908,68908abc
294,60336,60336abc
295,64594,64594abc
296,67762,67762abc
297,68794,68794abc
298,67263,67263abc
299,79130,79130abc
300,63628,63628abc
301,68043,68043abc
302,79339,79339abc
303,68201,68201abc
304,64255,64255abc
305,68856,68856abc
306,62918,62918abc
307,65343,65343abc
308,66064,66064abc
309,68453,68453abc
310,76225,76225abc
311,62655,62655abc
312,62611,62611abc
313,61295,61295abc
314,66609,66609abc
315,79535,79535abc
316,63991,63991abc
317,64893,64893abc
318,65048,65048abc
319,63960,63960abc
320,63765,63765abc
321,66068,66068abc
322,68848,68848abc
323,68159,68159abc
324,63638,63638abc
325,69744,69744abc
326,62242,62242abc
327,69032,69032abc
328,69813,69813abc
329,65665,65665abc
330,69934,69934abc
331,69413,69413abc
332,65496,65496abc
333,64565,64565abc
334,69748,69748abc
335,69041,69041abc
336,69640,69640abc
337,69103,69103abc
338,69620,69620abc
339,69159,69159abc
340,69940,69940abc
341,69343,69343abc
342,69328,69328abc
343,67008,67008abc
344,69861,69861abc
345,69550,69550abc
346,69435,69435abc
347,69446,69446abc
348,69656,69656abc
349,68900,68900abc
350,69762,69762abc
351,69045,69045abc
352,69539,69539abc
353,69516,69516abc
354,69974,69974abc
355,69646,69646abc
