,playerID,retroID
0,61240,61240abc
1,67742,67742abc
2,74731,74731abc
3,99737,99737abc
4,79764,79764abc
5,74167,74167abc
6,73226,73226abc
7,67435,67435abc
8,66643,66643abc
9,61365,61365abc
10,77446,77446abc
11,66492,66492abc
12,67443,67443abc
13,60636,60636abc
14,74630,74630abc
15,62754,62754abc
16,65856,65856abc
17,67033,67033abc
18,76858,76858abc
19,66859,66859abc
20,64001,64001abc
21,75250,75250abc
22,65067,65067abc
23,71845,71845abc
24,65062,65062abc
25,62322,62322abc
26,62698,62698abc
27,72749,72749abc
28,71118,71118abc
29,75258,75258abc
30,76650,76650abc
31,76430,76430abc
32,60140,60140abc
33,78148,78148abc
34,67948,67948abc
35,65546,65546abc
36,60559,60559abc
37,72551,72551abc
38,76540,76540abc
39,76118,76118abc
40,75867,75867abc
41,72862,72862abc
42,78352,78352abc
43,79229,79229abc
44,67748,67748abc
45,73248,73248abc
46,67246,67246abc
47,77211,77211abc
48,74857,74857abc
49,76329,76329abc
50,73750,73750abc
51,78247,78247abc
52,73117,73117abc
53,67645,67645abc
54,60146,60146abc
55,62637,62637abc
56,99445,99445abc
57,70142,70142abc
58,72523,72523abc
59,61666,61666abc
60,95657,95657abc
61,61411,61411abc
62,74838,74838abc
63,60264,60264abc
64,77318,77318abc
65,61895,61895abc
66,67312,67312abc
67,63111,63111abc
68,60339,60339abc
69,60181,60181abc
70,62363,62363abc
71,79140,79140abc
72,61396,61396abc
73,62146,62146abc
74,60263,60263abc
75,62528,62528abc
76,63950,63950abc
77,75321,75321abc
78,62951,62951abc
79,65064,65064abc
80,79349,79349abc
81,73801,73801abc
82,73738,73738abc
83,99314,99314abc
84,74454,74454abc
85,62648,62648abc
86,61643,61643abc
87,62869,62869abc
88,65331,65331abc
89,75340,75340abc
90,73632,73632abc
91,64017,64017abc
92,67828,67828abc
93,77563,77563abc
94,62937,62937abc
95,61329,61329abc
96,65348,65348abc
97,75342,75342abc
98,76350,76350abc
99,65933,65933abc
100,63512,63512abc
101,77591,77591abc
102,63959,63959abc
103,66920,66920abc
104,70425,70425abc
105,62966,62966abc
106,64995,64995abc
107,65060,65060abc
108,74513,74513abc
109,65056,65056abc
110,65058,65058abc
111,77637,77637abc
112,60841,60841abc
113,60845,60845abc
114,76455,76455abc
115,76355,76355abc
116,66145,66145abc
117,64021,64021abc
118,65320,65320abc
119,63938,63938abc
120,60768,60768abc
121,63248,63248abc
122,61214,61214abc
123,74359,74359abc
124,72535,72535abc
125,73211,73211abc
126,67559,67559abc
127,61101,61101abc
128,66451,66451abc
129,75750,75750abc
130,67646,67646abc
131,61215,61215abc
132,60255,60255abc
133,70615,70615abc
134,77263,77263abc
135,79358,79358abc
136,64907,64907abc
137,62929,62929abc
138,79791,79791abc
139,76639,76639abc
140,67119,67119abc
141,77927,77927abc
142,64596,64596abc
143,63342,63342abc
144,67815,67815abc
145,65516,65516abc
146,67467,67467abc
147,66226,66226abc
148,70839,70839abc
149,64464,64464abc
150,66659,66659abc
151,67591,67591abc
152,72261,72261abc
153,67421,67421abc
154,60457,60457abc
155,72447,72447abc
156,79191,79191abc
157,67266,67266abc
158,72641,72641abc
159,77452,77452abc
160,66309,66309abc
161,75149,75149abc
162,75138,75138abc
163,64029,64029abc
164,79847,79847abc
165,66741,66741abc
166,62892,62892abc
167,62868,62868abc
168,64350,64350abc
169,66138,66138abc
170,65769,65769abc
171,66160,66160abc
172,67313,67313abc
173,79617,79617abc
174,61496,61496abc
175,79222,79222abc
176,66291,66291abc
177,63104,63104abc
178,78366,78366abc
179,99563,99563abc
180,67360,67360abc
181,74748,74748abc
182,67423,67423abc
183,66960,66960abc
184,66801,66801abc
185,64462,64462abc
186,79440,79440abc
187,66047,66047abc
188,97336,97336abc
189,65042,65042abc
190,66660,66660abc
191,62338,62338abc
192,66201,66201abc
193,61457,61457abc
194,78552,78552abc
195,63027,63027abc
196,60337,60337abc
197,77253,77253abc
198,61456,61456abc
199,60441,60441abc
200,66305,66305abc
201,64267,64267abc
202,76653,76653abc
203,65509,65509abc
204,60634,60634abc
205,63749,63749abc
206,79235,79235abc
207,65345,65345abc
208,64759,64759abc
209,62696,62696abc
210,67737,67737abc
211,75537,75537abc
212,67143,67143abc
213,63894,63894abc
214,64861,64861abc
215,67703,67703abc
216,65696,65696abc
217,65543,65543abc
218,66858,66858abc
219,66493,66493abc
220,64051,64051abc
221,60757,60757abc
222,62056,62056abc
223,65392,65392abc
224,60848,60848abc
225,79825,79825abc
226,78819,78819abc
227,65908,65908abc
228,61891,61891abc
229,67066,67066abc
230,72321,72321abc
231,76757,76757abc
232,75730,75730abc
233,79545,79545abc
234,63619,63619abc
235,65616,65616abc
236,65764,65764abc
237,60105,60105abc
238,66098,66098abc
239,65742,65742abc
240,68748,68748abc
241,68703,68703abc
242,78248,78248abc
243,68948,68948abc
244,68135,68135abc
245,68526,68526abc
246,76610,76610abc
247,68220,68220abc
248,68742,68742abc
249,66018,66018abc
250,65643,65643abc
251,67640,67640abc
252,68953,68953abc
253,77829,77829abc
254,67588,67588abc
255,78536,78536abc
256,63543,63543abc
257,68435,68435abc
258,68815,68815abc
259,68240,68240abc
260,62263,62263abc
261,68400,68400abc
262,76461,76461abc
263,65639,65639abc
264,62920,62920abc
265,68415,68415abc
266,64155,64155abc
267,61145,61145abc
268,74543,74543abc
269,63348,63348abc
270,68067,68067abc
271,79293,79293abc
272,61962,61962abc
273,63936,63936abc
274,62360,62360abc
275,68701,68701abc
276,68249,68249abc
277,63145,63145abc
278,68659,68659abc
279,64805,64805abc
280,62595,62595abc
281,67863,67863abc
282,65618,65618abc
283,68260,68260abc
284,68200,68200abc
285,65802,65802abc
286,68556,68556abc
287,68419,68419abc
288,61268,61268abc
289,60764,60764abc
290,68341,68341abc
291,68036,68036abc
292,68130,68130abc
293,67840,67840abc
294,75620,75620abc
295,67603,67603abc
296,65964,65964abc
297,68639,68639abc
298,67122,67122abc
299,68908,68908abc
300,60336,60336abc
301,64594,64594abc
302,67762,67762abc
303,68794,68794abc
304,67263,67263abc
305,79130,79130abc
306,63628,63628abc
307,68043,68043abc
308,79339,79339abc
309,68201,68201abc
310,64255,64255abc
311,68856,68856abc
312,62918,62918abc
313,65343,65343abc
314,66064,66064abc
315,68453,68453abc
316,76225,76225abc
317,62655,62655abc
318,62611,62611abc
319,61295,61295abc
320,66609,66609abc
321,79535,79535abc
322,63991,63991abc
323,64893,64893abc
324,65048,65048abc
325,63960,63960abc
326,63765,63765abc
327,66068,66068abc
328,68848,68848abc
329,68159,68159abc
330,63638,63638abc
331,69744,69744abc
332,62242,62242abc
333,69032,69032abc
334,69813,69813abc
335,65665,65665abc
336,69934,69934abc
337,69413,69413abc
338,65496,65496abc
339,64565,64565abc
340,69748,69748abc
341,69041,69041abc
342,69640,69640abc
343,69103,69103abc
344,69620,69620abc
345,69159,69159abc
346,69940,69940abc
347,69343,69343abc
348,69328,69328abc
349,67008,67008abc
350,69861,69861abc
351,69550,69550abc
352,69435,69435abc
353,69446,69446abc
354,69656,69656abc
355,68900,68900abc
