,player,player_id,birth_date,height_weight,batting_hand,throwing_hand,position
0,니퍼트,61240,1981-05-06,"203cm, 103kg",우타,우투,P
1,비야누에바,67742,1983-11-28,"188cm, 100kg",우타,우투,P
2,송창식,74731,1985-03-25,"183cm, 104kg",우타,우투,P
3,박정진,99737,1976-05-27,"183cm, 88kg",좌타,좌투,P
4,장민재,79764,1990-03-19,"184cm, 98kg",우타,우투,P
5,김성배,73226,1981-01-12,"180cm, 86kg",우타,우언,P
6,헥터,66643,1987-01-26,"191cm, 93kg",우타,우투,P
7,김대우,61365,1984-07-26,"189cm, 95kg",좌타,우투,P
8,백정현,77446,1987-07-13,"184cm, 80kg",좌타,좌투,P
9,김승현,66492,1992-07-09,"180cm, 105kg",우타,우투,P
10,장지훈,67443,1998-12-06,"177cm, 78kg",우타,우투,P
11,심동섭,60636,1991-09-20,"185cm, 93kg",좌타,좌투,P
12,박근홍,74630,1985-08-22,"180cm, 90kg",좌타,좌투,P
13,임기영,62754,1993-04-16,"184cm, 78kg",우타,우언,P
14,켈리,65856,1989-10-04,"191cm, 98kg",우타,우투,P
15,로치,67033,1989-12-14,"183cm, 88kg",우타,우투,P
16,박희수,76858,1983-07-13,"184cm, 88kg",좌타,좌투,P
17,김주한,66859,1993-02-03,"184cm, 93kg",우타,우언,P
18,고영표,64001,1991-09-16,"187cm, 88kg",우타,우언,P
19,박정배,75250,1982-04-01,"180cm, 90kg",우타,우투,P
20,조무근,65067,1991-09-26,"198cm, 116kg",우타,우투,P
21,채병용,71845,1982-04-25,"185cm, 100kg",우타,우투,P
22,김재윤,65062,1990-09-16,"185cm, 91kg",우타,우투,P
23,밴헤켄,62322,1979-07-31,"193cm, 90kg",우타,좌투,P
24,소사,62698,1985-07-28,"185cm, 95kg",우타,우투,P
25,마정길,72749,1979-03-13,"177cm, 95kg",우타,우언,P
26,이동현,71118,1983-01-12,"192cm, 98kg",우타,우투,P
27,금민철,75258,1986-11-07,"181cm, 87kg",좌타,좌투,P
28,진해수,76650,1986-06-26,"187cm, 85kg",좌타,좌투,P
29,김상수,76430,1990-03-23,"175cm, 68kg",우타,우투,P
30,신정락,60140,1987-05-13,"177cm, 78kg",우타,우언,P
31,정찬헌,78148,1990-01-26,"187cm, 94kg",우타,우투,P
32,맨쉽,67948,1985-01-16,"187cm, 95kg",우타,우투,P
33,레일리,65546,1988-06-29,"190cm, 84kg",좌타,좌투,P
34,박시영,60559,1989-03-10,"180cm, 88kg",우타,우투,P
35,이정민,72551,1979-03-02,"182cm, 90kg",우타,우투,P
36,배장호,76540,1987-06-25,"188cm, 93kg",우타,우언,P
37,원종현,76118,1987-07-31,"182cm, 83kg",우타,우언,P
38,김진성,75867,1985-03-07,"186cm, 92kg",우타,우투,P
39,임창민,78352,1985-08-25,"183cm, 85kg",우타,우투,P
40,유희관,79229,1986-06-01,"180cm, 88kg",좌타,좌투,P
41,김승회,73248,1981-02-11,"177cm, 85kg",우타,우투,P
42,김명신,67246,1993-11-29,"178cm, 90kg",우타,우투,P
43,이용찬,77211,1989-01-02,"185cm, 85kg",우타,우투,P
44,정우람,74857,1985-06-01,"181cm, 82kg",좌타,좌투,P
45,이현승,76329,1983-10-11,"179cm, 87kg",좌타,좌투,P
46,윤규진,73750,1984-07-28,"185cm, 90kg",우타,우투,P
47,홍상삼,78247,1990-02-13,"188cm, 85kg",좌타,우투,P
48,우규민,73117,1985-01-21,"184cm, 75kg",좌타,우언,P
49,팻딘,67645,1989-05-25,"185cm, 88kg",좌타,좌투,P
50,이승현,60146,1991-11-20,"181cm, 92kg",우타,우투,P
51,권오준,99445,1980-03-09,"182cm, 80kg",우타,우언,P
52,고효준,72523,1983-02-08,"179cm, 74kg",좌타,좌투,P
53,한승혁,61666,1993-01-03,"185cm, 94kg",좌타,우투,P
54,임창용,95657,1976-06-04,"180cm, 75kg",우타,우언,P
55,심창민,61411,1993-02-01,"185cm, 86kg",우타,우언,P
56,윤희상,74838,1985-05-17,"193cm, 96kg",우타,우투,P
57,장시환,77318,1987-11-01,"184cm, 93kg",우타,우투,P
58,서진용,61895,1992-10-02,"184cm, 88kg",우타,우투,P
59,류제국,63111,1983-05-30,"190cm, 105kg",우타,우투,P
60,김건태,60339,1991-10-02,"185cm, 85kg",우타,우투,P
61,김지용,60181,1988-02-20,"177cm, 81kg",우타,우투,P
62,한현희,62363,1993-06-25,"182cm, 98kg",우타,우언,P
63,최성훈,62146,1989-10-11,"178cm, 75kg",좌타,좌투,P
64,이재학,60263,1990-10-04,"181cm, 84kg",우타,우언,P
65,김원중,62528,1993-06-14,"191cm, 97kg",좌타,우투,P
66,손승락,75321,1982-03-04,"187cm, 99kg",우타,우투,P
67,이형범,62951,1994-02-27,"181cm, 86kg",우타,우투,P
68,윤수호,65064,1992-07-09,"183cm, 90kg",우타,우투,P
69,송은범,73801,1984-03-17,"182cm, 93kg",우타,우투,P
70,안영명,73738,1984-11-19,"183cm, 90kg",우타,우투,P
71,송신영,99314,1977-03-01,"180cm, 88kg",우타,우투,P
72,윤성환,74454,1981-10-08,"183cm, 88kg",우타,우투,P
73,김윤동,62648,1993-04-01,"186cm, 97kg",우타,우투,P
74,홍건희,61643,1992-09-29,"185cm, 92kg",우타,우투,P
75,문승원,62869,1989-11-28,"183cm, 85kg",우타,우투,P
76,피어밴드,65331,1985-08-22,"190cm, 102kg",좌타,좌투,P
77,전유수,75340,1986-11-29,"185cm, 95kg",좌타,우투,P
78,임준혁,73632,1984-10-09,"182cm, 100kg",우타,우투,P
79,심재민,64017,1994-02-18,"182cm, 92kg",좌타,좌투,P
80,김성민,67828,1994-04-26,"181cm, 90kg",좌타,좌투,P
81,이상화,77563,1988-03-01,"188cm, 95kg",우타,우투,P
82,윤지웅,61329,1988-03-11,"180cm, 75kg",좌타,좌투,P
83,이보근,75342,1986-04-30,"187cm, 90kg",우타,우투,P
84,김세현,76350,1987-08-07,"188cm, 98kg",우타,우투,P
85,구창모,65933,1997-02-17,"183cm, 85kg",좌타,좌투,P
86,박진형,63512,1994-06-10,"181cm, 80kg",우타,우투,P
87,송승준,77591,1980-06-29,"184cm, 105kg",우타,우투,P
88,임정호,63959,1990-04-16,"188cm, 85kg",좌타,좌투,P
89,최성영,66920,1997-04-28,"180cm, 85kg",좌타,좌투,P
90,배영수,70425,1981-05-04,"184cm, 90kg",우타,우투,P
91,최금강,62966,1989-04-26,"195cm, 95kg",우타,우투,P
92,배재환,64995,1995-02-24,"186cm, 95kg",우타,우투,P
93,주권,65060,1995-05-31,"181cm, 82kg",우타,우투,P
94,장원준,74513,1985-07-31,"184cm, 85kg",좌타,좌투,P
95,엄상백,65056,1996-10-04,"187cm, 72kg",우타,우언,P
96,정성곤,65058,1996-07-10,"176cm, 74kg",좌타,좌투,P
97,양현종,77637,1988-03-01,"183cm, 91kg",좌타,좌투,P
98,박종훈,60841,1991-08-13,"186cm, 85kg",우타,우언,P
99,문광은,60845,1987-11-09,"180cm, 85kg",우타,우투,P
100,차우찬,76455,1987-05-31,"185cm, 80kg",좌타,좌투,P
101,장원삼,76355,1983-06-09,"181cm, 81kg",좌타,좌투,P
102,김대현,66145,1997-03-08,"188cm, 100kg",우타,우투,P
103,박세웅,64021,1995-11-30,"183cm, 79kg",우타,우투,P
104,최원태,65320,1997-01-07,"184cm, 93kg",우타,우투,P
105,해커,63938,1983-03-26,"185cm, 104kg",우타,우투,P
106,이태양,60768,1990-07-03,"192cm, 97kg",좌타,우투,P
107,함덕주,63248,1995-01-13,"181cm, 78kg",좌타,좌투,P
108,오주원,74359,1985-03-31,"184cm, 95kg",좌타,좌투,P
109,이명우,72535,1982-06-03,"185cm, 98kg",좌타,좌투,P
110,노경은,73211,1984-03-11,"186cm, 90kg",우타,우투,P
111,임찬규,61101,1992-11-20,"185cm, 80kg",우타,우투,P
112,최충연,66451,1997-03-05,"190cm, 85kg",우타,우투,P
113,박진태,67646,1994-10-19,"180cm, 83kg",우타,우투,P
114,강영식,70615,1981-06-17,"189cm, 99kg",좌타,좌투,P
115,김강률,77263,1988-08-28,"187cm, 95kg",우타,우투,P
116,강윤구,79358,1990-07-10,"183cm, 89kg",좌타,좌투,P
