,player_id,player,birth_date,height,weight,batting_hand,throwing_hand,position
0,61240,니퍼트,1981-05-06,203cm, 103kg,우타,우투,P
1,67742,비야누에바,1983-11-28,188cm, 100kg,우타,우투,P
2,74731,송창식,1985-03-25,183cm, 104kg,우타,우투,P
3,99737,박정진,1976-05-27,183cm, 88kg,좌타,좌투,P
4,79764,장민재,1990-03-19,184cm, 98kg,우타,우투,P
5,73226,김성배,1981-01-12,180cm, 86kg,우타,우언,P
6,66643,헥터,1987-01-26,191cm, 93kg,우타,우투,P
7,61365,김대우,1984-07-26,189cm, 95kg,좌타,우투,P
8,77446,백정현,1987-07-13,184cm, 80kg,좌타,좌투,P
9,66492,김승현,1992-07-09,180cm, 105kg,우타,우투,P
10,67443,장지훈,1998-12-06,177cm, 78kg,우타,우투,P
11,60636,심동섭,1991-09-20,185cm, 93kg,좌타,좌투,P
12,74630,박근홍,1985-08-22,180cm, 90kg,좌타,좌투,P
13,62754,임기영,1993-04-16,184cm, 78kg,우타,우언,P
14,65856,켈리,1989-10-04,191cm, 98kg,우타,우투,P
15,67033,로치,1989-12-14,183cm, 88kg,우타,우투,P
16,76858,박희수,1983-07-13,184cm, 88kg,좌타,좌투,P
17,66859,김주한,1993-02-03,184cm, 93kg,우타,우언,P
18,64001,고영표,1991-09-16,187cm, 88kg,우타,우언,P
19,75250,박정배,1982-04-01,180cm, 90kg,우타,우투,P
20,65067,조무근,1991-09-26,198cm, 116kg,우타,우투,P
21,71845,채병용,1982-04-25,185cm, 100kg,우타,우투,P
22,65062,김재윤,1990-09-16,185cm, 91kg,우타,우투,P
23,62322,밴헤켄,1979-07-31,193cm, 90kg,우타,좌투,P
24,62698,소사,1985-07-28,185cm, 95kg,우타,우투,P
25,72749,마정길,1979-03-13,177cm, 95kg,우타,우언,P
26,71118,이동현,1983-01-12,192cm, 98kg,우타,우투,P
27,75258,금민철,1986-11-07,181cm, 87kg,좌타,좌투,P
28,76650,진해수,1986-06-26,187cm, 85kg,좌타,좌투,P
29,76430,김상수,1990-03-23,175cm, 68kg,우타,우투,P
30,60140,신정락,1987-05-13,177cm, 78kg,우타,우언,P
31,78148,정찬헌,1990-01-26,187cm, 94kg,우타,우투,P
32,67948,맨쉽,1985-01-16,187cm, 95kg,우타,우투,P
33,65546,레일리,1988-06-29,190cm, 84kg,좌타,좌투,P
34,60559,박시영,1989-03-10,180cm, 88kg,우타,우투,P
35,72551,이정민,1979-03-02,182cm, 90kg,우타,우투,P
36,76540,배장호,1987-06-25,188cm, 93kg,우타,우언,P
37,76118,원종현,1987-07-31,182cm, 83kg,우타,우언,P
38,75867,김진성,1985-03-07,186cm, 92kg,우타,우투,P
39,78352,임창민,1985-08-25,183cm, 85kg,우타,우투,P
40,79229,유희관,1986-06-01,180cm, 88kg,좌타,좌투,P
41,73248,김승회,1981-02-11,177cm, 85kg,우타,우투,P
